Name,Alternative,Description
echo ${array[@]},,Print all values of an array as separate values
echo ${!array[@]},,Print all keys of an array as separate values
echo ${array[*]},,Print all values of an array as one space separated string
echo ${!array[*]},,Print all keys of an array as one space separated string
echo ${array[2]},echo ${array[num_var]},Print only index 2 of the array
echo ${array[-2]},echo ${array[-num_var]},Print only second to last index of the array
echo ${array[@]:2},echo ${array[@]:num_var},Print all the values starting at index 2
echo ${array[@]:2:3},echo ${array[@]:num_var2:num_var3},Print 3 values starting at index 2
echo ${#array[3]},echo ${#array[num_var]},Print the length of the 3rd element
echo ${#array[@]},,Print the number of elements
